imo,count imo,mmsi,count mmsi
9244386,3,352002183,1
9511363,3,352003358,1
9361471,3,352003688,1
9383998,3,352003949,1
9361471,3,352815000,1
9532288,3,352898758,1
9935985,3,352978239,1
9333254,3,352978281,1
9232400,3,352980799,1
9264879,3,352980854,1
9246944,3,354154000,1
9433860,3,357151000,1
9820714,3,357283000,1
9553359,3,370469000,1
9515668,3,370487000,1
9511363,3,370562000,1
9383998,3,370675000,1
9441879,3,370900000,1
9381342,3,372047000,1
9188788,3,374489000,1
9805752,3,405000346,1
9333254,3,419001817,1
9365520,3,440016000,1
9361471,3,440018000,2
9433860,3,440046000,1
9441879,3,440079000,1
9264879,3,440291000,1
9532288,3,440342000,1
9264879,3,440343000,1
9296884,3,440438000,1
9296884,3,440445000,1
9257125,3,441113000,1
9246944,3,441204000,1
9289881,3,441380000,1
9244386,3,441840000,1
9381342,3,441908000,1
7927166,3,457910496,1
7927166,3,457965567,1
9257125,3,477053000,1
9553359,3,477162200,1
9330795,3,477966600,1
9334961,3,511101344,1
9295579,3,518998991,1
9935985,3,525000000,26
9862267,3,525000000,26
9642746,3,525000000,26
8515790,3,525009270,2
8515790,3,525009272,1
5273254,3,525010411,2
9000675,3,525015921,1
9000675,3,525015931,3
9095917,3,525016192,2
9095917,3,525016197,1
9642746,3,525016704,1
5273254,3,525018221,1
5273254,3,525018270,1
7927166,3,525019360,1
9791767,3,525022047,1
9791767,3,525022407,1
8662335,3,525023628,1
8662335,3,525028364,1
9791767,3,525068066,1
9526992,3,525074435,1
8821125,3,525100404,2
8821125,3,525100454,1
8821125,3,525100494,1
9232400,3,525100639,1
9862267,3,525101044,2
9441879,3,525103005,1
9433860,3,525109016,1
9448580,3,525109017,1
9862267,3,525119087,1
9515668,3,525119221,1
9526992,3,525121028,1
9365520,3,525121085,1
9262950,3,525125033,1
9383998,3,525125040,1
9232400,3,525200748,2
9410193,3,525301505,1
9246944,3,525301854,1
9935985,3,525401294,1
1044259,3,525404680,1
9095917,3,525601836,1
9244386,3,525701087,1
1044259,3,525701224,1
9257125,3,525701319,1
9334961,3,525701730,1
9289881,3,525801078,1
9230177,3,525801879,1
8662335,3,525900426,1
9410193,3,529977000,1
8515790,3,533000559,1
9410193,3,533180122,1
9365520,3,538003173,1
9526992,3,538006590,1
9320051,3,538008061,1
9532288,3,538009435,1
9448580,3,538010473,1
9333254,3,538011216,1
9320051,3,538090493,1
9515668,3,548612000,1
9805752,3,563038900,1
9431757,3,563060300,1
9820714,3,563066800,1
9511363,3,563160700,1
9820714,3,563174600,1
9421283,3,564264961,1
9421283,3,564284000,1
9553359,3,564328000,1
9262950,3,564670000,1
9000675,3,564694000,1
9230177,3,566301000,1
9230177,3,567592000,2
9334961,3,574003160,1
9421283,3,574005830,1
9188788,3,613080000,1
9805752,3,636019194,1
9431757,3,636020649,1
9262950,3,636021120,1
9246786,3,636021890,1
9296884,3,636021895,1
9642746,3,666000001,7
1044259,3,667001934,1
