cluster_id,h3_int_r8
1,615099822963163135
1,615099822965260287
1,615099822967357439
1,615099822971551743
1,615099822973648895
1,615099822975746047
1,615099823013494783
1,615099823015591935
1,615099823017689087
1,615099823019786239
1,615099823021883391
1,615099823023980543
1,615099823026077695
1,615099823030271999
1,615099823032369151
1,615099823034466303
1,615099823036563455
1,615099823038660607
1,615099823040757759
1,615099823042854911
1,615099823055437823
1,615099823057534975
1,615099823059632127
2,615248988817326079
2,615248988838297599
2,615248988842491903
2,615248988846686207
2,615248988850880511
2,615248988871852031
2,615248988873949183
2,615248988876046335
2,615248988878143487
2,615248988880240639
2,615248988882337791
2,615248988884434943
2,615248989308059647
2,615248989312253951
2,615248989314351103
2,615248989341614079
2,615248989343711231
2,615248989345808383
2,615248989347905535
2,615248989350002687
2,615248989352099839
2,615248989354196991
2,615248989370974207
2,615248989408722943
2,615248989410820095
2,615248989412917247
2,615248989415014399
2,615248989421305855
2,615248991195496447
2,615248991197593599
2,615248991212273663
2,615248991254216703
2,615248991256313855
2,615248991258411007
2,615248991260508159
2,615248991262605311
2,615248991264702463
2,615248991266799615
2,615248991270993919
2,615248991273091071
2,615248991275188223
2,615248991277285375
2,615248991279382527
2,615248991281479679
2,615248991283576831
2,615248994961981439
2,615248994964078591
2,615248994966175743
2,615248994968272895
2,615248994970370047
2,615248994972467199
2,615248994974564351
2,615248994995535871
2,615248994997633023
2,615248995001827327
2,615248995003924479
2,615248995006021631
2,615248995031187455
2,615248995035381759
2,615248995039576063
2,615248995079421951
2,615248995081519103
2,615248995083616255
2,615248995085713407
2,615248995087810559
2,615248995089907711
2,615248995092004863
2,615248995096199167
2,615248995098296319
2,615248995100393471
2,615248995102490623
2,615248995104587775
2,615248995106684927
2,615248995108782079
2,615248995112976383
2,615248995115073535
2,615248995117170687
2,615248995119267839
2,615248995121364991
2,615248995123462143
2,615248995125559295
2,615248995129753599
2,615248995131850751
2,615248995133947903
2,615248995136045055
2,615248995138142207
2,615248995140239359
2,615248995142336511
2,615248995146530815
2,615248995148627967
2,615248995150725119
2,615248995152822271
2,615248995154919423
2,615248995157016575
2,615248995159113727
2,615248995163308031
2,615248995165405183
2,615248995167502335
2,615248995169599487
2,615248995171696639
2,615248995173793791
2,615248995175890943
2,615248995180085247
2,615248995182182399
2,615248995184279551
2,615248995186376703
2,615248995188473855
2,615248995190571007
2,615248995192668159
2,615248995347857407
2,615248995349954559
2,615248995356246015
2,615248995358343167
2,615248995360440319
2,615248995364634623
2,615248995366731775
2,615248995368828927
2,615248995370926079
2,615248995373023231
2,615248995375120383
2,615248995377217535
2,615248995417063423
2,615248995425452031
2,615248995431743487
2,615248995433840639
2,615248995435937791
2,615248995438034943
2,615248995440132095
2,615248995442229247
2,615248995444326399
2,615248995649847295
2,615248995651944447
2,615248995654041599
2,615248995656138751
2,615248995658235903
2,615248995660333055
2,615248995662430207
2,615248995666624511
2,615248995668721663
2,615248995670818815
2,615248995672915967
2,615248995677110271
2,615248995679207423
2,615248995723247615
3,614269466525564927
3,614269466527662079
3,614269466533953535
3,614269466536050687
3,614269466542342143
3,614269466544439295
3,614269466546536447
3,614269466986938367
3,614269466989035519
3,614269466991132671
3,614269466993229823
3,614269466995326975
3,614269466997424127
3,614269466999521279
3,614269467003715583
3,614269467005812735
3,614269467007909887
3,614269467010007039
3,614269467012104191
3,614269467014201343
3,614269467016298495
3,614269467020492799
3,614269467022589951
3,614269467024687103
3,614269467026784255
3,614269467028881407
3,614269467030978559
3,614269467033075711
3,614269467037270015
3,614269467039367167
3,614269467041464319
3,614269467043561471
3,614269467045658623
3,614269467047755775
3,614269467049852927
3,614269467054047231
3,614269467056144383
3,614269467058241535
3,614269467060338687
3,614269467062435839
3,614269467064532991
3,614269467066630143
3,614269467070824447
3,614269467072921599
3,614269467075018751
3,614269467077115903
3,614269467079213055
3,614269467081310207
3,614269467083407359
3,614269467087601663
3,614269467089698815
3,614269467091795967
3,614269467093893119
3,614269467095990271
3,614269467098087423
3,614269467100184575
3,614269467121156095
3,614269467125350399
3,614269467127447551
3,614269467129544703
3,614269467133739007
3,614269467154710527
3,614269467156807679
3,614269467158904831
3,614269467161001983
3,614269467163099135
3,614269467165196287
3,614269467167293439
3,614269467188264959
3,614269467190362111
3,614269467192459263
3,614269467194556415
3,614269467196653567
3,614269467198750719
3,614269467200847871
3,614269467209236479
3,614269467213430783
3,614269467217625087
3,614269467221819391
3,614269467223916543
3,614269467226013695
3,614269467228110847
3,614269467230207999
3,614269467232305151
3,614269467234402303
3,614269467280539647
3,614269467339259903
3,614269467341357055
3,614269467345551359
3,614269467349745663
3,614269498796539903
