cluster_id,h3_int_r5
14,600993447658127359
14,600993448731869183
14,600993449805611007
14,600995998868701183
14,600996001016184831
14,600996238313127935
14,600996245829320703
15,601442963230294015
15,601442964304035839
15,601442966451519487
15,601442967525261311
15,601442968599003135
15,601442971820228607
15,601442976115195903
15,601442977188937727
15,601442978262679551
15,601443000811257855
15,601443006179966975
15,601443007253708799
15,601443008327450623
15,601443009401192447
15,601443012622417919
16,601585527153491967
16,601585534669684735
16,601605700614881279
16,601605702762364927
16,601606449012932607
16,601606453307899903
16,601606464045318143
16,601606465119059967
16,601606466192801791
16,601606467266543615
16,601606468340285439
16,601606469414027263
16,601606470487769087
16,601606479077703679
16,601606500552540159
16,601606501626281983
17,601738270149181439
17,601738392555749375
17,601738393629491199
17,601738422620520447
17,601738423694262271
17,601738424768004095
17,601738425841745919
17,601738426915487743
17,601738427989229567
17,601738429062971391
17,601738433357938687
17,601738435505422335
17,601738437652905983
17,601738440874131455
18,601584666012549119
18,601584671381258239
18,601584673528741887
18,601584674602483711
18,601584677823709183
18,601584688561127423
18,601584689634869247
18,601584690708611071
18,601584691782352895
18,601584692856094719
18,601584693929836543
18,601585590504259583
18,601585594799226879
18,601585595872968703
18,601585596946710527
19,601738182102351871
19,601738183176093695
19,601738184249835519
19,601738185323577343
19,601738186397319167
19,601738187471060991
19,601738188544802815
19,601738216462090239
19,601738217535832063
19,601738218609573887
19,601738219683315711
19,601738227199508479
19,601738231494475775
19,601738234715701247
20,601600335126986751
20,601600365191757823
20,601600367339241471
20,601600368412983295
20,601600369486725119
20,601600371634208767
20,601600382371627007
20,601600383445368831
20,601600385592852479
20,601600386666594303
20,601600387740336127
20,601600388814077951
20,601602418186125311
20,601602419259867135
20,601602420333608959
20,601602421407350783
21,601582723613589503
21,601582727908556799
21,601585763376693247
21,601585765524176895
21,601585767671660543
21,601585770892886015
21,601585771966627839
21,601585773040369663
21,601585774114111487
21,601585775187853311
21,601585776261595135
21,601585777335336959
21,601585805252624383
21,601585806326366207
21,601585807400108031
21,601585808473849855
21,601585811695075327
22,601011888100212735
22,601011889173954559
22,601011900985114623
22,601011904206340095
22,601011906353823743
22,601011908501307391
22,601011911722532863
22,601011912796274687
22,601011913870016511
22,601011914943758335
22,601011916017500159
22,601011917091241983
22,601011918164983807
22,601606701342261247
23,601601224185217023
23,601601226332700671
23,601601228480184319
23,601601229553926143
23,601601230627667967
23,601601245660053503
23,601601246733795327
23,601601258544955391
23,601601260692439039
23,601601261766180863
23,601601264987406335
23,601601275724824575
23,601601276798566399
23,601601277872308223
23,601601278946050047
